MovieId,imdbId,title,genres,Year,Avg rating,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,imdb links
4054,0206275,Save the Last Dance (2001),Drama|Romance,2001,2.84375,0,0,0,0,0,0,0,1,0,0,0,1,0,0,https://www.imdb.com/title/tt0206275
4069,0209475,"Wedding Planner, The (2001)",Comedy|Romance,2001,2.909090909,0,0,0,0,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0209475
4148,0212985,Hannibal (2001),Horror|Thriller,2001,2.935897436,0,0,0,0,0,0,0,0,0,1,0,0,0,1,https://www.imdb.com/title/tt0212985
4149,0239948,Saving Silverman (Evil Woman) (2001),Comedy|Romance,2001,2.772727273,0,0,0,0,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0239948
4153,0231775,Down to Earth (2001),Comedy|Fantasy|Romance,2001,2.416666667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,https://www.imdb.com/title/tt0231775
4161,0236493,"Mexican, The (2001)",Action|Comedy,2001,3.347826087,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0236493
4167,0179626,15 Minutes (2001),Thriller,2001,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.imdb.com/title/tt0179626
4223,0215750,Enemy at the Gates (2001),Drama,2001,3.5125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0215750
4228,0125022,Heartbreakers (2001),Comedy|Crime|Romance,2001,2.15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0125022
4232,0227538,Spy Kids (2001),Action|Adventure|Children|Comedy,2001,2.946428571,1,1,0,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0227538
4238,0164334,Along Came a Spider (2001),Action|Crime|Mystery|Thriller,2001,3.147058824,1,0,0,0,0,1,0,0,0,0,1,0,0,1,https://www.imdb.com/title/tt0164334
4239,0221027,Blow (2001),Crime|Drama,2001,3.81372549,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0221027
4246,0243155,Bridget Jones's Diary (2001),Comedy|Drama|Romance,2001,3.623076923,0,0,0,0,1,0,0,1,0,0,0,1,0,0,https://www.imdb.com/title/tt0243155
4247,0245686,Joe Dirt (2001),Adventure|Comedy|Mystery|Romance,2001,2.380952381,0,1,0,0,1,0,0,0,0,0,1,1,0,0,https://www.imdb.com/title/tt0245686
4254,0231402,Crocodile Dundee in Los Angeles (2001),Comedy|Drama,2001,2.192307692,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0231402
4270,0209163,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller,2001,3.088888889,1,1,0,0,1,0,0,0,0,0,0,0,0,1,https://www.imdb.com/title/tt0209163
4299,0183790,"Knight's Tale, A (2001)",Action|Comedy|Romance,2001,3.341463415,1,0,0,0,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0183790
4306,0126029,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,3.867647059,0,1,1,1,1,0,0,0,1,0,0,1,0,0,https://www.imdb.com/title/tt0126029
4308,0203009,Moulin Rouge (2001),Drama|Romance,2001,3.590909091,0,0,0,0,0,0,0,1,0,0,0,1,0,0,https://www.imdb.com/title/tt0203009
4310,0213149,Pearl Harbor (2001),Action|Drama|Romance,2001,2.965116279,1,0,0,0,0,0,0,1,0,0,0,1,0,0,https://www.imdb.com/title/tt0213149
4340,0255798,"Animal, The (2001)",Comedy,2001,2.136363636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0255798
4343,0251075,Evolution (2001),Comedy|Sci-Fi,2001,3.037037037,0,0,0,0,1,0,0,0,0,0,0,0,1,0,https://www.imdb.com/title/tt0251075
4344,0244244,Swordfish (2001),Action|Crime|Drama,2001,3.102941176,1,0,0,0,0,1,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0244244
4366,0230011,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy,2001,3.342105263,0,1,1,1,0,0,0,0,1,0,0,0,0,0,https://www.imdb.com/title/tt0230011
4367,0146316,Lara Croft: Tomb Raider (2001),Action|Adventure,2001,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0146316
4368,0240462,Dr. Dolittle 2 (2001),Comedy,2001,2.363636364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0240462
4369,0232500,"Fast and the Furious, The (2001)",Action|Crime|Thriller,2001,3.066666667,1,0,0,0,0,1,0,0,0,0,0,0,0,1,https://www.imdb.com/title/tt0232500
4370,0212720,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,2001,3.339285714,0,1,0,0,0,0,0,1,0,0,0,0,1,0,https://www.imdb.com/title/tt0212720
4386,0239395,Cats & Dogs (2001),Children|Comedy,2001,2.818181818,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0239395
4388,0257106,Scary Movie 2 (2001),Comedy,2001,2.653846154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0257106
4446,0173840,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi,2001,3.35483871,0,1,1,0,0,0,0,0,1,0,0,0,1,0,https://www.imdb.com/title/tt0173840
4447,0250494,Legally Blonde (2001),Comedy|Romance,2001,3.15625,0,0,0,0,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0250494
4448,0227445,"Score, The (2001)",Action|Drama,2001,3.55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0227445
4638,0163025,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller,2001,2.847222222,1,1,0,0,0,0,0,0,0,0,0,0,1,1,https://www.imdb.com/title/tt0163025
4639,0265029,America's Sweethearts (2001),Comedy|Romance,2001,2.583333333,0,0,0,0,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0265029
4641,0162346,Ghost World (2001),Comedy|Drama,2001,3.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0162346
4643,0133152,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi,2001,2.744897959,1,1,0,0,0,0,0,1,0,0,0,0,1,0,https://www.imdb.com/title/tt0133152
4700,0247638,"Princess Diaries, The (2001)",Children|Comedy|Romance,2001,3.037037037,0,0,0,1,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0247638
4701,0266915,Rush Hour 2 (2001),Action|Comedy,2001,3.370967742,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0266915
4718,0252866,American Pie 2 (2001),Comedy,2001,3.066666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0252866
4720,0230600,"Others, The (2001)",Drama|Horror|Mystery|Thriller,2001,3.627272727,0,0,0,0,0,0,0,1,0,1,1,0,0,1,https://www.imdb.com/title/tt0230600
4728,0250687,Rat Race (2001),Comedy,2001,3.055555556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0250687
4734,0261392,Jay and Silent Bob Strike Back (2001),Adventure|Comedy,2001,3.161764706,0,1,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0261392
4776,0139654,Training Day (2001),Crime|Drama|Thriller,2001,3.794117647,0,0,0,0,0,1,0,1,0,0,0,0,0,1,https://www.imdb.com/title/tt0139654
4816,0196229,Zoolander (2001),Comedy,2001,3.509259259,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0196229
4823,0240890,Serendipity (2001),Comedy|Romance,2001,3.14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0240890
4848,0166924,Mulholland Drive (2001),Crime|Drama|Mystery|Thriller,2001,3.843137255,0,0,0,0,0,1,0,1,0,0,1,0,0,1,https://www.imdb.com/title/tt0166924
4865,0120681,From Hell (2001),Crime|Horror|Mystery|Thriller,2001,3.65,0,0,0,0,0,1,0,0,0,1,1,0,0,1,https://www.imdb.com/title/tt0120681
4873,0243017,Waking Life (2001),Animation|Drama|Fantasy,2001,3.684210526,0,0,1,0,0,0,0,1,1,0,0,0,0,0,https://www.imdb.com/title/tt0243017
4874,0272152,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi,2001,3.484848485,0,0,0,0,0,0,0,1,1,0,1,0,1,0,https://www.imdb.com/title/tt0272152
4876,0245674,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller,2001,2.458333333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,https://www.imdb.com/title/tt0245674
4878,0246578,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,2001,3.981651376,0,0,0,0,0,0,0,1,0,0,1,0,1,1,https://www.imdb.com/title/tt0246578
4881,0243133,"Man Who Wasn't There, The (2001)",Crime|Drama,2001,3.735294118,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://www.imdb.com/title/tt0243133
4886,0198781,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,2001,3.871212121,0,1,1,1,1,0,0,0,1,0,0,0,0,0,https://www.imdb.com/title/tt0198781
4887,0267804,"One, The (2001)",Action|Sci-Fi|Thriller,2001,2.75,1,0,0,0,0,0,0,0,0,0,0,0,1,1,https://www.imdb.com/title/tt0267804
4890,0256380,Shallow Hal (2001),Comedy|Fantasy|Romance,2001,3.032258065,0,0,0,0,1,0,0,0,1,0,0,1,0,0,https://www.imdb.com/title/tt0256380
4896,0241527,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,2001,3.761682243,0,1,0,1,0,0,0,0,1,0,0,0,0,0,https://www.imdb.com/title/tt0241527
