MovieId,imdbId,title,genres,Year,Avg rating,,,,,,,,,,,,,,
4054,206275,Save the Last Dance (2001),Drama|Romance,2001,2.84375,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4069,209475,"Wedding Planner, The (2001)",Comedy|Romance,2001,2.909090909,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4148,212985,Hannibal (2001),Horror|Thriller,2001,2.935897436,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4149,239948,Saving Silverman (Evil Woman) (2001),Comedy|Romance,2001,2.772727273,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4153,231775,Down to Earth (2001),Comedy|Fantasy|Romance,2001,2.416666667,0,0,0,0,1,0,0,0,1,0,0,1,0,0
4161,236493,"Mexican, The (2001)",Action|Comedy,2001,3.347826087,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4167,179626,15 Minutes (2001),Thriller,2001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4223,215750,Enemy at the Gates (2001),Drama,2001,3.5125,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4228,125022,Heartbreakers (2001),Comedy|Crime|Romance,2001,2.15,0,0,0,0,1,1,0,0,0,0,0,1,0,0
4232,227538,Spy Kids (2001),Action|Adventure|Children|Comedy,2001,2.946428571,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4238,164334,Along Came a Spider (2001),Action|Crime|Mystery|Thriller,2001,3.147058824,1,0,0,0,0,1,0,0,0,0,1,0,0,1
4239,221027,Blow (2001),Crime|Drama,2001,3.81372549,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4246,243155,Bridget Jones's Diary (2001),Comedy|Drama|Romance,2001,3.623076923,0,0,0,0,1,0,0,1,0,0,0,1,0,0
4247,245686,Joe Dirt (2001),Adventure|Comedy|Mystery|Romance,2001,2.380952381,0,1,0,0,1,0,0,0,0,0,1,1,0,0
4254,231402,Crocodile Dundee in Los Angeles (2001),Comedy|Drama,2001,2.192307692,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4270,209163,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller,2001,3.088888889,1,1,0,0,1,0,0,0,0,0,0,0,0,1
4299,183790,"Knight's Tale, A (2001)",Action|Comedy|Romance,2001,3.341463415,1,0,0,0,1,0,0,0,0,0,0,1,0,0
4306,126029,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,3.867647059,0,1,1,1,1,0,0,0,1,0,0,1,0,0
4308,203009,Moulin Rouge (2001),Drama|Romance,2001,3.590909091,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4310,213149,Pearl Harbor (2001),Action|Drama|Romance,2001,2.965116279,1,0,0,0,0,0,0,1,0,0,0,1,0,0
4340,255798,"Animal, The (2001)",Comedy,2001,2.136363636,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4343,251075,Evolution (2001),Comedy|Sci-Fi,2001,3.037037037,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4344,244244,Swordfish (2001),Action|Crime|Drama,2001,3.102941176,1,0,0,0,0,1,0,1,0,0,0,0,0,0
4366,230011,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy,2001,3.342105263,0,1,1,1,0,0,0,0,1,0,0,0,0,0
4367,146316,Lara Croft: Tomb Raider (2001),Action|Adventure,2001,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4368,240462,Dr. Dolittle 2 (2001),Comedy,2001,2.363636364,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4369,232500,"Fast and the Furious, The (2001)",Action|Crime|Thriller,2001,3.066666667,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4370,212720,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,2001,3.339285714,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4386,239395,Cats & Dogs (2001),Children|Comedy,2001,2.818181818,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4388,257106,Scary Movie 2 (2001),Comedy,2001,2.653846154,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4446,173840,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi,2001,3.35483871,0,1,1,0,0,0,0,0,1,0,0,0,1,0
